Ticker, Price ,Annual Dividend,Annual Yield
"CITY OFFICE REIT, INC. (XNYS:CIO)",$11.66,not found,not found
DTE ENERGY COMPANY (XNYS:DTE),$115.72,$3.54,3.04%
THE J. M. SMUCKER COMPANY (XNYS:SJM),$122.22,$3.96,3.16%
WESTAMERICA BANCORPORATION (XNAS:WABC),$56.63,not found,not found
"THE INTERPUBLIC GROUP OF COMPANIES, INC. (XNYS:IPG)",$27.05,$1.16,3.59%
"PROSPERITY BANCSHARES, INC. (XNYS:PB)",$67.96,not found,not found
Xcel Energy Inc. (XNAS:XEL),$63.91,$1.95,2.96%
INGREDION INCORPORATED (XNYS:INGR),$84.62,$2.60,2.71%
THE CLOROX COMPANY (XNYS:CLX),$122.72,$4.64,3.79%
CUMMINS INC. (XNYS:CMI),$191.55,$5.80,2.75%
INTEL CORPORATION (XNAS:INTC),$36.97,$1.46,3.91%
SNAP-ON INCORPORATED (XNYS:SNA),$195.73,$5.68,2.96%
ALLIANT ENERGY CORPORATION (XNAS:LNT),$54.75,$1.71,2.68%
"HUNTINGTON INGALLS INDUSTRIES, INC. (XNYS:HII)",$200.64,$4.72,2.22%
"PEPSICO, INC. (XNAS:PEP)",$157.06,$4.60,2.93%
TEXAS INSTRUMENTS INCORPORATED (XNAS:TXN),$150.20,$4.60,3.06%
"ESSEX PROPERTY TRUST, INC. (XNYS:ESS)",$256.08,$8.80,3.10%
PERRIGO COMPANY PUBLIC LIMITED COMPANY (XNYS:PRGO),$38.84,$1.04,2.60%
RAYTHEON TECHNOLOGIES CORPORATION (XNYS:RTX),$88.88,$2.20,2.48%
"CULLEN/FROST BANKERS, INC. (XNYS:CFR)",$117.41,not found,not found
"CISCO SYSTEMS, INC. (XNAS:CSCO)",$43.39,$1.52,3.51%
IMPERIAL OIL LIMITED (XNYS:IMO),$48.50,$1.06,1.90%
EASTMAN CHEMICAL COMPANY (XNYS:EMN),$87.67,$3.04,3.20%
ERIE INDEMNITY COMPANY (XNAS:ERIE),$172.92,not found,not found
"COMMUNITY BANK SYSTEM, INC. (XNYS:CBU)",$61.78,not found,not found
CYRUSONE INC. (XNAS:CONE),$90.30,not found,not found
Otter Tail Corporation (XNAS:OTTR),$61.78,$1.65,2.62%
INTERNATIONAL FLAVORS & FRAGRANCES INC. (XNYS:IFF),$108.31,$3.16,2.70%
MCGRATH RENTCORP (XNAS:MGRC),$74.43,not found,not found
CVS HEALTH CORPORATION (XNYS:CVS),$88.68,$2.20,2.41%
"Mondelez International, Inc. (XNAS:MDLZ)",$58.80,$1.40,2.21%
"C.H. ROBINSON WORLDWIDE, INC. (XNAS:CHRW)",$99.00,$2.20,2.13%
"Essential Utilities, Inc. (XNYS:WTRG)",$41.58,$1.07,2.32%
RELX PLC (XNYS:RELX),$25.54,not found,not found
"AIR PRODUCTS AND CHEMICALS, INC. (XNYS:APD)",$235.97,$6.48,2.61%
COMCAST CORPORATION (XNAS:CMCSA),$38.71,$1.08,2.85%
KEURIG DR PEPPER INC. (XNAS:KDP),$34.35,$0.75,2.18%
America Mobile (XNYS:AMX),$19.38,$0.40,1.76%
"UNITED PARCEL SERVICE, INC. (XNYS:UPS)",$171.03,$6.08,3.46%
UNION PACIFIC CORPORATION (XNYS:UNP),$206.45,$5.20,2.50%
THE HERSHEY COMPANY (XNYS:HSY),$206.03,$3.60,1.69%
HONEYWELL INTERNATIONAL INC. (XNAS:HON),$179.70,$3.92,2.12%
"BLACKROCK, INC. (XNYS:BLK)",$582.22,$19.52,3.25%
BOOZ ALLEN HAMILTON HOLDING CORPORATION (XNYS:BAH),$81.13,$1.72,2.18%
CI Financial Corp. (XNYS:CIXX),$10.81,not found,not found
STARBUCKS CORPORATION (XNAS:SBUX),$71.87,$1.96,2.73%
"ADVANCE AUTO PARTS, INC. (XNYS:AAP)",$167.81,$6.00,3.50%
"NEXTERA ENERGY, INC. (XNYS:NEE)",$70.79,$1.62,2.29%
"THE HOME DEPOT, INC. (XNYS:HD)",$270.73,$7.60,2.81%
Canadian National Railway Company (XNYS:CNI),$108.11,$2.30,1.96%
RITCHIE BROS. AUCTIONEERS INCORPORATED (XNYS:RBA),$59.50,not found,not found
"MUELLER WATER PRODUCTS, INC. (XNYS:MWA)",$11.08,not found,not found
SAP SE (XNYS:SAP),$93.00,$2.08,2.24%
THE YORK WATER COMPANY (XNAS:YORW),$38.16,not found,not found
"WASTE MANAGEMENT, INC. (XNYS:WM)",$140.65,$2.60,1.79%
NORFOLK SOUTHERN CORPORATION (XNYS:NSC),$221.30,$4.96,2.23%
"YUM! BRANDS, INC. (XNYS:YUM)",$109.50,$2.28,2.08%
Novo Nordisk A/S (XNYS:NVO),$105.58,$1.57,1.49%
ELI LILLY AND COMPANY (XNYS:LLY),$290.90,$3.92,1.36%
"BROADRIDGE FINANCIAL SOLUTIONS, INC. (XNYS:BR)",$133.41,$2.56,1.84%
UMB Financial Corporation (XNAS:UMBF),$84.83,not found,not found
"EQUINIX, INC. (XNAS:EQIX)",$632.81,$12.40,1.96%
"REPUBLIC SERVICES, INC. (XNYS:RSG)",$120.73,$1.84,1.37%
"AMERICAN WATER WORKS COMPANY, INC. (XNYS:AWK)",$131.84,$2.62,1.96%
"ROCKWELL AUTOMATION, INC. (XNYS:ROK)",$191.09,$4.48,2.34%
FOX CORPORATION (XNAS:FOXA),$32.07,not found,not found
THE TORO COMPANY (XNYS:TTC),$75.25,$1.16,1.35%
DEERE & COMPANY (XNYS:DE),$322.72,$4.52,1.37%
Trane Technologies plc (XNYS:TT),$120.97,$2.68,1.94%
UNITEDHEALTH GROUP INCORPORATED (XNYS:UNH),$452.06,$6.60,1.46%
ARTHUR J. GALLAGHER & CO. (XNYS:AJG),$149.71,$2.04,1.23%
CARRIER GLOBAL CORPORATION (XNYS:CARR),$34.41,$0.60,1.63%
OTIS WORLDWIDE CORPORATION (XNYS:OTIS),$67.88,$1.16,1.52%
COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION (XNAS:CTSH),$66.50,$1.08,1.47%
L'Oreal SA (XETR:LOR),$307.45,not found,not found
"INTERCONTINENTAL EXCHANGE, INC. (XNYS:ICE)",$90.33,$1.52,1.59%
XYLEM INC. (XNYS:XYL),$72.91,$1.20,1.40%
Franco-Nevada Corporation (XNYS:FNV),$139.00,$1.28,0.92%
"DOMINO'S PIZZA, INC. (XNYS:DPZ)",$379.17,$4.40,1.16%
RESMED INC. (XNYS:RMD),$197.57,$1.68,0.81%
SBA Communications Corporation (XNAS:SBAC),$292.04,$2.58,0.77%
ZOETIS INC. (XNYS:ZTS),$158.83,$1.30,0.82%
"LITHIA MOTORS, INC. (XNYS:LAD)",$270.11,$1.68,0.55%
"DILLARD'S, INC. (XNYS:DDS)",$273.27,$0.80,0.27%
