Ticker, Price , Annual Dividend ,Dividend Yield
RELX PLC (XNYS:RELX),$25.54,,
"AIR PRODUCTS AND CHEMICALS, INC. (XNYS:APD)",$235.97,,
COMCAST CORPORATION (XNAS:CMCSA),$38.71,,
KEURIG DR PEPPER INC. (XNAS:KDP),$34.35,,
America Mobile (XNYS:AMX),$19.38,,
"UNITED PARCEL SERVICE, INC. (XNYS:UPS)",$171.03,,
UNION PACIFIC CORPORATION (XNYS:UNP),$206.45,,
THE HERSHEY COMPANY (XNYS:HSY),$206.03,,
HONEYWELL INTERNATIONAL INC. (XNAS:HON),$179.70,,
"BLACKROCK, INC. (XNYS:BLK)",$582.22,,
BOOZ ALLEN HAMILTON HOLDING CORPORATION (XNYS:BAH),$81.13,,
CI Financial Corp. (XNYS:CIXX),$10.81,,
STARBUCKS CORPORATION (XNAS:SBUX),$71.87,,
"ADVANCE AUTO PARTS, INC. (XNYS:AAP)",$167.81,,
"NEXTERA ENERGY, INC. (XNYS:NEE)",$70.79,,
"THE HOME DEPOT, INC. (XNYS:HD)",$270.73,,
Canadian National Railway Company (XNYS:CNI),$108.11,,
RITCHIE BROS. AUCTIONEERS INCORPORATED (XNYS:RBA),$59.50,,
"MUELLER WATER PRODUCTS, INC. (XNYS:MWA)",$11.08,,
SAP SE (XNYS:SAP),$93.00,,
THE YORK WATER COMPANY (XNAS:YORW),$38.16,,
"WASTE MANAGEMENT, INC. (XNYS:WM)",$140.65,,
NORFOLK SOUTHERN CORPORATION (XNYS:NSC),$221.30,,
"YUM! BRANDS, INC. (XNYS:YUM)",$109.50,,
Novo Nordisk A/S (XNYS:NVO),$105.58,,
ELI LILLY AND COMPANY (XNYS:LLY),$290.90,,
"BROADRIDGE FINANCIAL SOLUTIONS, INC. (XNYS:BR)",$133.41,,
UMB Financial Corporation (XNAS:UMBF),$84.83,,
"EQUINIX, INC. (XNAS:EQIX)",$632.81,,
"REPUBLIC SERVICES, INC. (XNYS:RSG)",$120.73,,
"AMERICAN WATER WORKS COMPANY, INC. (XNYS:AWK)",$131.84,,
"ROCKWELL AUTOMATION, INC. (XNYS:ROK)",$191.09,,
FOX CORPORATION (XNAS:FOXA),$32.07,,
THE TORO COMPANY (XNYS:TTC),$75.25,,
DEERE & COMPANY (XNYS:DE),$322.72,,
Trane Technologies plc (XNYS:TT),$120.97,,
UNITEDHEALTH GROUP INCORPORATED (XNYS:UNH),$452.06,,
ARTHUR J. GALLAGHER & CO. (XNYS:AJG),$149.71,,
CARRIER GLOBAL CORPORATION (XNYS:CARR),$34.41,,
OTIS WORLDWIDE CORPORATION (XNYS:OTIS),$67.88,,
COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION (XNAS:CTSH),$66.50,,
L'Oreal SA (XETR:LOR),$307.45,,
"INTERCONTINENTAL EXCHANGE, INC. (XNYS:ICE)",$90.33,,
XYLEM INC. (XNYS:XYL),$72.91,,
Franco-Nevada Corporation (XNYS:FNV),$139.00,,
"DOMINO'S PIZZA, INC. (XNYS:DPZ)",$379.17,,
RESMED INC. (XNYS:RMD),$197.57,,
SBA Communications Corporation (XNAS:SBAC),$292.04,,
ZOETIS INC. (XNYS:ZTS),$158.83,,
"LITHIA MOTORS, INC. (XNYS:LAD)",$270.11,,
"DILLARD'S, INC. (XNYS:DDS)",$273.27,,
